Global average production and unit water footprints of crops over 2010–2019,,,,,,,
DOI: https://doi.org/10.4121/7b45bcc6-686b-404d-a910-13c87156716a,,,,,,,
,,,,,,,
crop_code,crop_name,crop_group,production_t,wfg_m3_t,wfb_cr_m3_t,wfb_i_m3_t,wf_tot_m3_t
56,Maize (corn),Cereals,1024541157,657.1664267,7.484206039,49.9164263,714.567059
236,Soya beans,Oil crops,303854111.5,1548.750728,30.2771554,21.51866971,1600.546553
15,Wheat,Cereals,725511384.3,829.6536013,29.62191927,154.0426994,1013.31822
27,Rice,Cereals,734857025.6,580.3218944,57.54832269,308.9040809,946.774298
83,Sorghum,Cereals,62354064.6,2583.405432,6.080187905,148.2055867,2737.691206
328,"Seed cotton, unginned",Fibres,74565145.8,1569.825577,10.02274353,864.1236623,2443.971983
116,Potatoes,Roots,360783555.5,152.5002589,2.945945646,21.97561459,177.4218192
44,Barley,Cereals,144096437.7,615.5546237,12.00597772,35.70783206,663.2684335
267,Sunflower seed,Oil crops,45435923.5,2079.462176,57.86311305,63.46579862,2200.791088
79,Millet,Cereals,28595251.7,3495.026358,17.07915151,45.80362509,3557.909135
270,Rape or colza seed,Oil crops,70578933.9,1199.052771,43.34902297,88.36742753,1330.769221
176,"Beans, dry",Pulses,26232768.4,2828.953147,20.61170969,172.0461868,3021.611043
125,"Cassava, fresh",Roots,282085843.4,340.0056221,1.432053761,0.657731393,342.0954072
242,"Groundnuts, excluding shelled",Oil crops,46132234,2230.408365,9.858819505,134.4905453,2374.757729
156,Sugar cane,Sugar crops,1868691468,103.3527798,0.380974465,37.24409133,140.9778456
157,Sugar beet,Sugar crops,270013692.8,56.13560708,2.106968509,18.2930562,76.53563179
195,"Cow peas, dry",Pulses,7709109.4,4905.032831,6.060960504,14.25570589,4925.349498
187,"Peas, dry",Pulses,13002736.1,1215.788615,33.0886748,66.32001205,1315.197302
191,"Chick peas, dry",Pulses,13113736.6,1559.938901,9.961332191,447.7885431,2017.688776
388,Tomatoes,Vegetables,171450555.5,87.1292742,0.702724293,37.05135767,124.8833562
122,Sweet potatoes,Roots,91799132.8,214.3374132,1.404115695,0.842031052,216.5835599
403,"Onions and shallots, dry (excluding dehydrated)",Vegetables,89631483.1,135.8369584,1.805926579,62.04778005,199.690665
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Vegetables,32863880.9,192.4101247,1.852070328,45.96204586,240.2242409
137,Yams,Roots,64658745.9,498.0996757,2.528239617,0.000397292,500.6283126
289,Sesame seed,Oil crops,5677096.6,5854.560885,25.19471519,205.6510164,6085.406617
75,Oats,Cereals,22820001.9,787.1968591,17.75198433,29.84942886,834.7982723
560,Grapes,Fruits,73936517.9,346.2017829,2.640011115,89.32441076,438.1662048
260,Olives,Oil crops,19811671,2123.113161,5.67132709,175.3946472,2304.179136
656,"Coffee, green",Stimulants,9153049.4,9257.407663,11.98648519,77.40579548,9346.799944
254,Oil palm fruit,Oil crops,343292522,713.7889844,4.309003477,0.477373127,718.575361
836,Natural rubber in primary forms,Others,13143291.8,8858.819608,57.06053647,599.4566653,9515.33681
661,Cocoa beans,Stimulants,4830206,20921.49013,53.53065547,61.0649967,21036.08578
249,"Coconuts, in shell",Oil crops,61340464.3,1645.763,11.27605276,4.96827694,1662.00733
572,Avocados,Fruits,5285142.7,670.6147825,3.342973068,263.710934,937.6686895
217,"Cashew nuts, in shell",Nuts,3215480.3,13848.03006,64.22185386,307.0439902,14219.29591
486,Bananas,Fruits,113794725.7,370.4367921,3.446800609,32.01986198,405.9034547
667,Tea leaves,Stimulants,22437466.2,1428.770194,18.15717143,3.336672356,1450.264038
515,Apples,Fruits,81984141.8,301.0518252,4.548174121,57.49188795,363.0918873
826,Unmanufactured tobacco,Others,6971244.5,1340.376136,4.087319614,56.28737591,1400.750831
490,Oranges,Fruits,73054256,315.5434045,3.581661505,85.96364089,405.0887069
463,"Other vegetables, fresh n.e.c.",Vegetables,281738780.6,216.8102518,2.643459085,32.23555796,251.6892688
397,Cucumbers and gherkins,Vegetables,76210721.5,80.58796,1.033665478,24.81228805,106.4339135
358,Cabbages,Vegetables,69818116.4,97.95863565,1.254759302,17.25647035,116.4698653
430,Okra,Vegetables,9021101.5,699.7031779,6.909086437,51.37667369,757.988938
417,"Peas, green",Vegetables,18204382.5,387.2763515,5.001943617,80.54007041,472.8183655
567,Watermelons,Vegetables,99061126.8,83.35782462,1.183812619,41.58083011,126.1224673
399,Eggplants (aubergines),Vegetables,50513665.6,108.2742876,1.216338287,24.47569682,133.9663227
414,"Other beans, green",Vegetables,22009967.1,208.479635,2.442634842,39.52918891,250.4514588
406,Green garlic,Vegetables,25201078.6,155.3041685,2.076940335,25.20303121,182.5841401
367,Asparagus,Vegetables,8205251.6,554.6792709,8.030980103,76.86268005,639.572931
394,"Pumpkins, squash and gourds",Vegetables,24285290.8,209.3102774,2.137638482,54.36252611,265.810442
393,Cauliflowers and broccoli,Vegetables,23923061.8,155.0527003,1.70700691,37.44247171,194.2021789
372,Lettuce and chicory,Vegetables,25870509.6,125.211706,1.550120304,35.39559364,162.1574199
426,Carrots and turnips,Vegetables,38634855.9,72.43699983,1.010402201,23.80004716,97.24744919
568,Cantaloupes and other melons,Vegetables,26511755.1,95.65343956,0.962924621,69.47877712,166.0951413
446,Green corn (maize),Vegetables,10972960,275.3530989,1.677048963,91.22581729,368.2559652
373,Spinach,Vegetables,25063734.5,108.3938629,1.512157614,17.36431255,127.2703331
420,"Broad beans and horse beans, green",Vegetables,1712606.4,286.7973308,1.520112698,286.0079395,574.325383
402,"Onions and shallots, green",Vegetables,4397757,137.198172,0.652746421,42.41212824,180.2630467
423,String beans,Vegetables,1815007.9,255.8206342,1.196023483,216.2798714,473.2965291
407,Leeks and other alliaceous vegetables,Vegetables,2168176,149.3456869,1.183224753,28.41685761,178.9457692
366,Artichokes,Vegetables,1500876.1,157.2170325,3.185962117,141.4900633,301.8930578
449,Mushrooms and truffles,Vegetables,33113227.6,12.49793068,0.238399846,1.511909442,14.24823997
459,Chicory roots,Vegetables,420447.6,133.3265747,2.746677148,7.339703999,143.4129559
108,Cereals n.e.c.,Cereals,6594667.6,2210.111338,26.15660968,71.01794584,2307.285894
71,Rye,Cereals,13449102,1096.40554,35.04530363,28.09356082,1159.544404
97,Triticale,Cereals,14565342.2,823.2068331,10.12426047,12.02337368,845.3544673
89,Buckwheat,Cereals,2138328.1,2710.404385,94.1273388,310.0021747,3114.533899
103,Mixed grain,Cereals,3731385.9,992.222844,9.895145341,5.666064701,1007.784054
94,Fonio,Cereals,622599.3,4219.089106,1.239716957,0.859752968,4221.188576
101,Canary seed,Cereals,234545,2990.91809,141.0445638,7.361337194,3139.32399
92,Quinoa,Cereals,138689.3,5259.922228,3.508570363,825.571398,6089.002196
211,Other pulses n.e.c.,Pulses,4289839.7,2688.841186,31.62658361,185.7557369,2906.223506
197,"Pigeon peas, dry",Pulses,4711069.9,2121.250862,1.863579161,71.9529031,2195.067344
201,"Lentils, dry",Pulses,6101690.8,1599.207542,34.69865726,116.9440149,1750.850214
181,"Broad beans and horse beans, dry",Pulses,4911002.3,1206.03985,18.90376681,108.9514719,1333.895089
210,Lupins,Pulses,1219947.4,1315.701037,14.04679741,53.16936907,1382.917203
205,Vetches,Pulses,858887.9,1411.557031,25.67373336,99.71262008,1536.943385
203,"Bambara beans, dry",Pulses,203839.5,4515.361305,2.699203875,23.0461902,4541.106699
136,Taro,Roots,11251834.8,520.0142175,5.655518686,0.554998422,526.2247346
149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,4748665.7,332.1091074,1.021645982,21.43961293,354.5703663
135,Yautia,Roots,485120.9,246.1957585,0.531214445,40.42015713,287.1471301
333,Linseed,Oil crops,2634342.1,2598.652053,149.5490492,73.83864413,2822.039746
299,Melonseed,Oil crops,895379.2,4497.937229,31.94669876,432.480195,4962.364123
339,"Other oil seeds, n.e.c.",Oil crops,2344039.2,3376.735874,45.12642663,23.64610656,3445.508407
265,Castor oil seeds,Oil crops,1921291.6,2529.174093,25.10459075,91.93289316,2646.211577
292,Mustard seed,Oil crops,606414,3460.885214,165.9992218,31.1126533,3657.997089
263,Karite nuts (sheanuts),Oil crops,667358.8,5946.932224,59.62322319,0,6006.555447
280,Safflower seed,Oil crops,756182.3,2863.275358,133.669033,448.964629,3445.90902
305,Tallowtree seeds,Oil crops,997507.7,194.82,0,1.65,196.47
310,Kapok fruit,Oil crops,296322.9,6308.502912,20.56593511,0,6329.068847
275,Tung nuts,Oil crops,221697.1,1103.783287,7.521783399,3.091820187,1114.39689
296,Poppy seed,Oil crops,76367.6,3639.937765,27.9939191,89.84680793,3757.778492
336,Hempseed,Oil crops,3525.6,4324.308175,215.1986424,303.9805295,4843.487347
277,Jojoba seeds,Oil crops,147.3,7914.493,30.634,11525.629,19470.756
671,Maté leaves,Stimulants,1107110.3,1923.796089,0.228286246,6.228129625,1930.252505
221,"Almonds, in shell",Nuts,2970587.7,2317.205462,30.73898161,1972.548419,4320.492863
222,"Walnuts, in shell",Nuts,2874375.7,1612.93018,20.38314218,649.4090716,2282.722394
226,Areca nuts,Nuts,1391501.8,5254.747145,184.5948255,38.41571633,5477.757686
223,"Pistachios, in shell",Nuts,875368,2598.218743,30.54205222,3747.578419,6376.339214
225,"Hazelnuts, in shell",Nuts,8.94E+05,3781.458006,23.60931015,694.3612908,4499.428607
234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Nuts,919495.7,4572.5142,35.82797676,728.0637066,5336.405883
224,Kola nuts,Nuts,293924.1,16847.64378,17.84525421,0,16865.48903
220,"Chestnuts, in shell",Nuts,2070247,1454.468307,13.29073319,96.85006887,1564.609109
216,"Brazil nuts, in shell",Nuts,5965.2,18704.751,14.547,0,18719.298
619,"Other fruits, n.e.c.",Fruits,35675572.8,875.3307683,10.44502063,144.8302219,1030.606011
489,Plantains and cooking bananas,Fruits,33618428.1,1475.424892,6.296217345,11.28469449,1493.005804
571,"Mangoes, guavas and mangosteens",Fruits,46837282.2,730.7165085,13.90533741,95.18973995,839.8115859
603,"Other tropical fruits, n.e.c.",Fruits,23366509.2,955.5992077,9.259122779,72.59854647,1037.456877
495,"Tangerines, mandarins, clementines",Fruits,31243277,464.654459,3.105261046,68.43675808,536.1964782
536,Plums and sloes,Fruits,11466152,1240.478046,17.93799581,80.55144013,1338.967482
534,Peaches and nectarines,Fruits,22782564.3,344.7103171,4.122785402,80.027254,428.8603565
512,"Other citrus fruit, n.e.c.",Fruits,13071926.9,740.2489429,5.856165136,43.40703857,789.5121466
577,Dates,Fruits,7844154.7,367.4962297,2.940025704,709.4982703,1079.934526
521,Pears,Fruits,24163673.3,341.3096803,4.457793356,27.72076652,373.4882402
497,Lemons and limes,Fruits,16436427.4,353.8546157,5.792607983,95.35537034,455.0025941
574,Pineapples,Fruits,25412530.5,288.5250191,2.556902742,8.149364452,299.2312863
587,Persimmons,Fruits,4227627.3,1291.607807,16.0557802,19.50754162,1327.171128
526,Apricots,Fruits,3895305.6,551.9138479,5.295595593,347.8465119,905.0559555
591,Cashewapple,Fruits,1752886.6,2982.479423,4.185804391,183.7839026,3170.44913
600,Papayas,Fruits,12909950.8,231.8273261,3.463519663,11.49798342,246.7888292
531,Cherries,Fruits,2262626,771.943631,9.672832446,328.4995591,1110.116023
544,Strawberries,Fruits,7720592.3,176.903456,2.267651078,21.00347012,200.1745772
507,Pomelos and grapefruits,Fruits,8460191.7,254.2620332,3.522755694,22.36740979,280.1521986
569,Figs,Fruits,1149027.7,722.3372821,2.290299833,805.3310406,1529.958623
592,Kiwi fruit,Fruits,3644692.3,335.846747,4.037179839,50.69875354,390.5826804
530,Sour cherries,Fruits,1306243.4,738.5451584,19.48368438,187.3066355,945.3354783
550,Currants,Fruits,634927.7,655.0069358,16.76419693,3.485228631,675.2563614
558,Other berries and fruits of the genus vaccinium n.e.c.,Fruits,894514.6,639.0363718,8.202683806,109.5753037,756.8143593
547,Raspberries,Fruits,695779.8,563.9926295,10.63207276,41.30941487,615.9341171
552,Blueberries,Fruits,634296.3,606.124855,11.79918706,89.6786123,707.6026544
523,Quinces,Fruits,619952.5,554.1183699,6.150840187,199.9463254,760.2155355
541,Other stone fruits,Fruits,543672.2,556.4149304,5.093903936,373.6216326,935.1304669
554,Cranberries,Fruits,525003.7,164.60817,5.7174106,0.944846755,171.2704273
542,Other pome fruits,Fruits,69276.7,563.3231953,1.580350929,85.51034375,650.41389
549,Gooseberries,Fruits,149858.9,640.3369259,19.40976803,1.711495641,661.4581896
461,Locust beans (carobs),Fruits,121775.9,1146.727284,4.485616081,557.0240981,1708.236998
711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Spices,1316754,2858.912831,24.18933253,1139.006364,4022.108528
689,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Spices,3772903.6,1324.513489,12.74572252,239.9427989,1577.20201
723,"Other stimulant, spice and aromatic crops, n.e.c.",Spices,2775696,1231.511431,8.32163719,429.5012753,1669.334344
687,"Pepper (Piper spp.), raw",Spices,555971,3714.673258,25.58059318,431.8219024,4172.075754
698,"Cloves (whole stems), raw",Spices,153063.9,36195.33651,109.0628306,18.07382444,36322.47316
702,"Nutmeg, mace, cardamoms, raw",Spices,106507,27059.66299,182.7762415,779.3177942,28021.75702
720,"Ginger, raw",Spices,2929570.1,364.8670404,7.898839718,1.121639269,373.8875194
693,"Cinnamon and cinnamon-tree flowers, raw",Spices,210248.5,10240.78317,84.77599429,315.9061931,10641.46536
692,"Vanilla, raw",Spices,7373,123750.0736,145.0998715,623.167384,124518.3409
677,Hop cones,Spices,140330.4,2789.408341,26.96149306,8.487941939,2824.857776
748,"Peppermint, spearmint",Spices,91961.6,51.30290889,0.034972227,150.7406301,202.0785112
780,"Jute, raw or retted",Fibres,3420057.7,655.8766393,27.78234879,34.50837404,718.1673622
821,"Other fibre crops, raw, n.e.c.",Fibres,286455.9,9713.124581,24.1194517,20.18467394,9757.428707
773,"Flax, processed but not spun",Fibres,776844.3,896.8613211,27.46895003,85.18393199,1009.514203
789,"Sisal, raw",Fibres,327849.5,5927.501941,6.577501519,129.4332327,6063.512675
809,"Abaca, manila hemp, raw",Fibres,105890.9,16085.82497,45.18960026,805.3655902,16936.38016
782,"Kenaf, and other textile bast fibres, raw or retted",Fibres,239773.3,1229.992581,15.51577466,54.40507995,1299.913436
777,"True hemp, raw or retted",Fibres,168273.3,617.4370122,28.4985182,0.600618983,646.5361493
800,"Agave fibres, raw, n.e.c.",Fibres,42682.3,9899.11456,33.36641196,3.47251906,9935.953491
788,"Ramie, raw or retted",Fibres,109363.2,1182.047753,36.84383238,62.74536997,1281.636955
754,"Pyrethrum, dried flowers",Others,7355.7,15196.25113,9.690992016,414.9293332,15620.87146
161,Other sugar crops n.e.c.,Sugar crops,927448.9,1123.386979,7.543660175,229.0454792,1359.976119
647,Beets for fodder,Fodder crops,5320040.7,68.13869235,1.570253234,2.646891702,72.35583728
649,Swedes for fodder,Fodder crops,3221323.8,42.88050683,1.79E-06,13.42056792,56.30107654
655,Vegetables and roots fodder,Fodder crops,12430839.7,103.799584,1.501379019,102.590303,207.891266
640,Clover for forage,Fodder crops,91800919.5,81.06417576,2.002581197,170.7518411,253.818598
641,"Forage and silage, alfalfa",Fodder crops,359350707,236.053224,6.444814922,14.81038383,257.3084228
636,"Forage and silage, maize",Fodder crops,437200563,101.0592397,1.800811052,7.860027737,110.7200785
651,"Other forage products, n.e.c.",Fodder crops,292507897.6,363.0193072,12.10744298,4.148312611,379.2750627
639,Other grasses for forage,Fodder crops,436763274.4,355.52769,8.79708586,14.4318064,378.7565822
643,Other legumes for forage,Fodder crops,43457046.6,131.352009,1.60382015,23.9305955,156.8864247
646,Turnips for forage,Fodder crops,2599300.6,73.29619256,0.491165294,6.187499809,79.97485766
638,"Forage and silage, rye grass",Fodder crops,63457668.9,477.8919044,5.953301257,3.768934235,487.6141399
637,"Forage and silage, sorghum",Fodder crops,22236677.3,182.1034791,2.011548046,36.41034411,220.5253712
645,Mixed Grasses and Legumes,Fodder crops,1086101085,130.4424214,2.20141553,14.87138076,147.5152177
642,"Forage and silage, green oilseeds",Fodder crops,81063400,221.5598417,3.229060644,12.77030042,237.5592027
644,Cabbage for fodder,Fodder crops,1997354.4,55.50340276,0.336983058,11.83281329,67.6731991
648,Carrots for fodder,Fodder crops,8513.9,50.2064676,0.028853715,37.66420988,87.8995312
